name,position,projected_points,uncertainty,player_id,code,team_name,status,prior_total_points,prior_minutes,fixture_difficulty_next6,projection_method
Josh Eccles,MID,53.590,21.436,187,439668,Coventry City,a,,,3.167,position prior for new player
Ephron Mason-Clark,MID,53.590,21.436,186,241293,Coventry City,a,,,3.167,position prior for new player
George Shepherd,MID,53.590,21.436,189,684268,Coventry City,a,,,3.167,position prior for new player
Raphael Borges Rodrigues,MID,53.590,21.436,191,492498,Coventry City,a,,,3.167,position prior for new player
Kaine Andrews,MID,53.590,21.436,192,629397,Coventry City,a,,,3.167,position prior for new player
Mamadou Sangaré,MID,53.590,21.436,565,513545,Brentford,a,,,3.167,position prior for new player
Matt Grimes,MID,53.590,21.436,184,168144,Coventry City,a,,,3.167,position prior for new player
Ayden Heaven,DEF,52.951,8.000,421,606745,Man Utd,a,42.000,920.000,2.833,prior-season points with positional shrinkage
Will Hughes,MID,52.600,8.000,212,108413,Crystal Palace,a,45.000,1560.000,3.000,prior-season points with positional shrinkage
Evann Guessand,MID,51.800,8.000,42,485337,Aston Villa,a,44.000,909.000,3.000,prior-season points with positional shrinkage
Conor Gallagher,MID,51.800,8.000,519,232787,Spurs,a,44.000,1183.000,3.000,prior-season points with positional shrinkage
Giorgi Mamardashvili,GK,51.541,12.885,351,449027,Liverpool,a,34.000,867.000,2.833,prior-season points with positional shrinkage
Rio Ngumoha,MID,51.340,12.835,369,611922,Liverpool,a,43.000,547.000,2.833,prior-season points with positional shrinkage
Cristhian Mosquera,DEF,51.000,8.000,11,500040,Arsenal,a,40.000,986.000,3.000,prior-season points with positional shrinkage
Kai Havertz,FWD,51.000,12.750,26,219847,Arsenal,a,36.000,577.000,3.000,prior-season points with positional shrinkage
Sávio Moreira de Oliveira,MID,51.000,12.750,403,510281,Man City,a,43.000,817.000,3.000,prior-season points with positional shrinkage
Geovany Quenda,MID,50.713,24.342,164,593117,Chelsea,d,,,3.000,position prior for new player
Jack Rudoni,MID,50.375,24.180,183,480457,Coventry City,d,,,3.167,position prior for new player
Rodrigo Muniz Carvalho,FWD,50.320,8.000,271,244042,Fulham,a,36.000,987.000,3.333,prior-season points with positional shrinkage
Josh Acheampong,DEF,50.200,12.550,151,577016,Chelsea,a,39.000,657.000,3.000,prior-season points with positional shrinkage
Charalampos Kostoulas,FWD,50.200,12.550,138,647850,Brighton,a,35.000,351.000,3.000,prior-season points with positional shrinkage
Olivier Boscagli,DEF,50.200,12.550,114,204120,Brighton,a,39.000,799.000,3.000,prior-season points with positional shrinkage
Oscar Bobb,MID,49.531,8.000,264,477555,Fulham,a,42.000,1030.000,3.333,prior-season points with positional shrinkage
Jorge Cuenca Barreno,DEF,49.531,8.000,255,246301,Fulham,a,39.000,935.000,3.333,prior-season points with positional shrinkage
Tom Cairney,MID,48.741,12.185,266,76357,Fulham,a,41.000,756.000,3.333,prior-season points with positional shrinkage
Lamare Bogarde,MID,48.600,8.000,35,515597,Aston Villa,a,40.000,1042.000,3.000,prior-season points with positional shrinkage
Aaron Hickey,DEF,48.276,12.069,90,472713,Brentford,a,37.000,679.000,3.167,prior-season points with positional shrinkage
Justin Kluivert,MID,48.083,8.000,70,222683,Bournemouth,a,41.000,945.000,3.667,prior-season points with positional shrinkage
